nome,localModelo,localFoto
Televisão,modelos/Televisao1.stl,modelos/Televisao1.png
Poltrona com encosto baixo,modelos/Poltrona2.stl,modelos/Poltrona2.png
Poltrona com encosto alto,modelos/Poltrona1.stl,modelos/Poltrona1.png
Mesa retangular,modelos/Mesa1.stl,modelos/Mesa1.png
Cadeira,modelos/Cadeira1.stl,modelos/Cadeira1.png
Banco de praça,modelos/Banco3.stl,modelos/Banco3.png
Banco liso de madeira,modelos/Banco2.stl,modelos/Banco2.png
Banqueta de madeira,modelos/Banco1.stl,modelos/Banco1.png

